pair_id,prompt_A,answer_A,prompt_B,answer_B,strain_score_v2
1,Who wrote Pride and Prejudice?,"""Pride and Prejudice"" was written by Jane Austen.",Which author is responsible for the novel Pride and Prejudice?,"The novel ""Pride and Prejudice"" was written by Jane Austen.",0.0000
2,What year did the iPhone first release?,The iPhone was first released in 2007.,In what year did Apple launch the first iPhone?,Apple launched the first iPhone in 2007.,0.0000
3,How far is the Earth from the Sun?,"The average distance from the Earth to the Sun is about 93 million miles, or approximately 150 million kilometers. This distance is also known as an astronomical unit (AU).",What is the distance between Earth and the Sun?,"The average distance between the Earth and the Sun is about 93 million miles, or approximately 150 million kilometers. This distance is also known as an astronomical unit (AU).",0.0000
4,Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The artist behind the Mona Lisa is who?,The artist behind the Mona Lisa is Leonardo da Vinci.,0.0000
5,What is the capital of France?,The capital of France is Paris.,Which city serves as the capital of France?,The capital of France is Paris.,0.0000
6,What gas do plants breathe in?,Plants take in carbon dioxide (CO2) from the atmosphere during the process of photosynthesis.,Plants take in which gas from the air?,Plants take in carbon dioxide from the air.,0.0000
7,Who discovered gravity?,"The concept of gravity was famously formulated by Sir Isaac Newton in the 17th century. He developed the law of universal gravitation, which describes the gravitational attraction between masses. However, the idea of gravity as a force was understood in various forms by earlier thinkers, but Newton's work provided a comprehensive mathematical framework.",Which scientist is credited with discovering gravity?,"Sir Isaac Newton is credited with formulating the law of universal gravitation. He described this in his work ""Philosophiæ Naturalis Principia Mathematica,"" published in 1687.",0.2500
8,How many continents are there?,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, Australia (or Oceania), and South America.",What is the total number of continents?,"There are seven continents on Earth: Africa, Antarctica, Asia, Europe, North America, Australia (sometimes referred to as Oceania when including the Pacific islands), and South America.",0.2500
9,What does DNA stand for?,DNA stands for deoxyribonucleic acid.,Expand the acronym DNA.,DNA stands for deoxyribonucleic acid.,0.0000
10,What ocean is the deepest?,"The Pacific Ocean is the deepest ocean. Its deepest point is the Mariana Trench, which reaches a depth of about 36,070 feet (10,994 meters).",Which ocean contains the deepest point on Earth?,"The Pacific Ocean contains the deepest point on Earth, known as the Challenger Deep, located in the Mariana Trench.",0.2500
11,What is the boiling point of water in Celsius?,The boiling point of water is 100 degrees Celsius at standard atmospheric pressure (1 atm).,At what Celsius temperature does water boil?,"Water boils at 100 degrees Celsius under standard atmospheric pressure, which is 1 atmosphere or 101.3 kPa.",0.2500
12,Who was the first US president?,The first U.S. president was George Washington. He served from 1789 to 1797.,Which person served as the first president of the United States?,The first president of the United States was George Washington.,0.0000
13,Which planet is known as the Red Planet?,"Mars is known as the Red Planet due to its reddish appearance, which is caused by iron oxide, or rust, on its surface.",What planet has the nickname the Red Planet?,"Mars is commonly known as the Red Planet due to its reddish appearance, which is caused by iron oxide, or rust, on its surface.",0.0000
14,What is the fastest land animal?,"The fastest land animal is the cheetah, which can reach speeds of up to 60 to 70 miles per hour (97 to 113 kilometers per hour) in short bursts covering distances up to 1,500 feet (460 meters).",Which animal holds the record for fastest on land?,"The cheetah holds the record for being the fastest land animal, capable of reaching speeds up to 60 to 70 miles per hour (97 to 113 kilometers per hour) in short bursts covering distances up to 1,500 feet (460 meters).",0.0000
15,Who invented the telephone?,The telephone was invented by Alexander Graham Bell. He was awarded the first US patent for the invention of the telephone in 1876.,The telephone was invented by which person?,The telephone was invented by Alexander Graham Bell. He was awarded the first US patent for the invention of the telephone in 1876.,0.0000
16,How many bones are in the adult human body?,An adult human body typically has 206 bones.,Adults have how many bones in their bodies?,Adults typically have 206 bones in their bodies.,0.0000
17,What country has the most people?,"As of the latest data, China has the largest population of any country in the world. However, India is very close in population size and is projected to surpass China in the near future.",Which nation has the largest population?,"As of the latest available data, India has the largest population, having surpassed China.",1.0000
18,What is the main language spoken in Brazil?,The main language spoken in Brazil is Portuguese.,Which language is primarily spoken in Brazil?,The primary language spoken in Brazil is Portuguese.,0.0000
19,Who developed the theory of relativity?,"The theory of relativity was developed by Albert Einstein. It consists of two parts: the special theory of relativity, introduced in 1905, and the general theory of relativity, published in 1915.",Which scientist formulated the theory of relativity?,"Albert Einstein formulated the theory of relativity. There are two parts to this theory: the special theory of relativity, introduced in 1905, and the general theory of relativity, published in 1915.",0.0000
20,What is the largest desert in the world?,"The largest desert in the world is the Antarctic Desert. It covers an area of about 14 million square kilometers (5.4 million square miles). Deserts are defined by their low precipitation, and the Antarctic Desert is the driest, coldest, and windiest continent on Earth.",Which desert is the largest on Earth?,"The largest desert on Earth is the Antarctic Desert. It covers an area of about 14 million square kilometers (5.4 million square miles). Despite being covered in ice, it is classified as a desert due to its extremely low precipitation levels.",0.2500
21,"If you drop a glass on concrete, what happens?","If you drop a glass on concrete, it is likely to shatter or break due to the hard and unforgiving nature of the concrete surface. The impact can cause the glass to crack or fragment into multiple pieces. The extent of the damage depends on factors such as the height from which it is dropped, the type of glass, and the angle of impact.",What is likely to occur if a glass falls onto a concrete floor?,"If a glass falls onto a concrete floor, it is likely to break or shatter due to the hard and unforgiving nature of the concrete surface. The impact from the fall can cause the glass to crack or fragment into pieces.",0.2500
22,Why do people wear jackets in winter?,"People wear jackets in winter primarily to stay warm. Jackets provide insulation by trapping body heat and creating a barrier against cold air. They often have materials like down, wool, or synthetic fibers that are effective at retaining warmth. Additionally, jackets can protect against wind, rain, and snow, helping to maintain body temperature and prevent discomfort or hypothermia in cold conditions.",What is the purpose of wearing a jacket during cold weather?,"The purpose of wearing a jacket during cold weather is to provide insulation and retain body heat. Jackets are designed to trap warm air close to the body, reducing heat loss and keeping you warm. They also protect against wind and moisture, which can further decrease body temperature. By creating a barrier against the cold environment, jackets help maintain a comfortable and safe body temperature.",0.0000
23,Can a bicycle stand on its own without a kickstand?,"No, a bicycle cannot stand on its own without a kickstand or some form of external support. Bicycles are designed to be balanced by a rider or supported by a kickstand or other structure when stationary.",Will a bike remain upright without support?,"A bike will not remain upright without support when stationary. It requires either a kickstand, a wall, or some other form of support to stay upright. However, when a bike is in motion, it can remain upright due to the gyroscopic effect of the spinning wheels and the rider's ability to make small steering adjustments to maintain balance.",0.5000
24,Why do we refrigerate milk?,"We refrigerate milk to slow down the growth of bacteria and other microorganisms that can cause spoilage and foodborne illnesses. Milk is a perishable product, and keeping it at a low temperature (typically around 4°C or 39°F) helps maintain its freshness, flavor, and nutritional quality for a longer period. Refrigeration significantly extends the shelf life of milk compared to leaving it at room temperature.",What is the reason milk is kept cold?,"Milk is kept cold to slow down the growth of bacteria and other microorganisms that can cause spoilage and foodborne illnesses. Refrigeration helps maintain the milk's freshness, flavor, and nutritional quality by keeping it at a temperature that inhibits bacterial growth. Typically, milk should be stored at or below 40°F (4°C) to ensure its safety and extend its shelf life.",0.0000
25,"If a bowl overflows with water, what does it mean?","If a bowl overflows with water, it means that the bowl has been filled beyond its capacity to hold liquid, causing the excess water to spill over the edges. This can occur if more water is added than the bowl can contain, or if the bowl is tilted or moved in a way that causes the water to spill.",What does it indicate when water spills over a bowl’s edge?,"When water spills over a bowl's edge, it indicates that the bowl has reached its maximum capacity and is overflowing. This typically happens when the volume of water added exceeds the bowl's ability to contain it, demonstrating the principle that a container can only hold a finite amount of liquid.",0.0000
26,What happens if you leave ice out in the sun?,"If you leave ice out in the sun, it will absorb heat from the sunlight and the surrounding air, causing it to melt. The ice will transition from a solid state to a liquid state, turning into water. The rate at which the ice melts depends on factors such as the intensity of the sunlight, the ambient temperature, and the size of the ice.",What will ice do if it is placed in direct sunlight?,"If ice is placed in direct sunlight, it will absorb heat from the sun and begin to melt. The rate at which it melts depends on factors such as the intensity of the sunlight, the ambient temperature, and the surface on which the ice is placed.",0.2500
27,Why do cars need fuel?,"Cars need fuel to power their engines, which in turn enables them to move. In most traditional vehicles, the internal combustion engine burns fuel—typically gasoline or diesel—to create a series of small explosions. These explosions push pistons, which turn the crankshaft and ultimately drive the wheels of the car. This process converts the chemical energy stored in the fuel into mechanical energy, allowing the car to move. In electric vehicles, instead of fuel, they use electricity stored in batteries to power electric motors.",What is the role of fuel in making a car run?,"Fuel plays a crucial role in making a car run by providing the energy needed to power the engine. In internal combustion engines, which are common in most cars, fuel (such as gasoline or diesel) is mixed with air and then ignited within the engine's cylinders. This ignition causes a controlled explosion, which pushes the pistons down. The movement of the pistons turns the crankshaft, converting the chemical energy stored in the fuel into mechanical energy. This mechanical energy is then used to turn the wheels of the car, propelling it forward. Additionally, fuel also powers various auxiliary systems in the car, such as the alternator, which generates electricity for the vehicle's electrical systems.",0.5000
28,Can you breathe underwater without equipment?,"No, humans cannot breathe underwater without equipment. Our lungs are not designed to extract oxygen from water. To breathe underwater, equipment like scuba gear, which provides a supply of breathable air, is necessary.",Is it possible for a person to breathe underwater unaided?,"No, it is not possible for a person to breathe underwater unaided. Human lungs are not designed to extract oxygen from water. To breathe underwater, a person would need equipment like a snorkel or scuba gear, which provides access to air or oxygen.",0.2500
29,Why do people take umbrellas when it rains?,"People take umbrellas when it rains to stay dry and protect themselves from getting wet. Umbrellas provide a portable and convenient way to shield against rain, helping to keep clothes, hair, and personal items dry. This can be particularly important for comfort, health, and maintaining a professional appearance.",What is the function of an umbrella during rain?,"The function of an umbrella during rain is to provide protection by shielding the user from getting wet. It acts as a barrier, preventing raindrops from reaching the person underneath, thereby keeping them dry.",0.0000
30,Why does a ball roll downhill?,"A ball rolls downhill primarily due to the force of gravity. Gravity pulls objects toward the center of the Earth, and when a ball is placed on a slope, this gravitational force has a component that acts parallel to the surface of the slope. This component causes the ball to accelerate down the slope. Additionally, the shape of the ball allows it to roll rather than slide, as the force causes it to rotate around its axis while moving downward. Friction between the ball and the surface also plays a role, as it provides the necessary torque for the ball to start rolling.",What causes a ball to move downward on a slope?,"A ball moves downward on a slope primarily due to the force of gravity. Gravity acts on the ball, pulling it towards the center of the Earth. When the ball is placed on a slope, the gravitational force can be broken down into two components: one perpendicular to the slope and one parallel to it. The component of the gravitational force that is parallel to the slope causes the ball to accelerate downward along the slope. Additionally, factors such as friction and air resistance can influence the motion, but the primary cause of the downward movement is the gravitational force component along the slope.",0.5000
31,Why do people brush their teeth?,"People brush their teeth primarily to maintain oral hygiene and prevent dental problems. Here are the main reasons:

1. **Plaque Removal**: Brushing helps remove plaque, a sticky film of bacteria that forms on teeth. If not removed, plaque can lead to tooth decay and gum disease.

2. **Prevent Cavities**: Regular brushing helps prevent cavities by removing food particles and bacteria that produce acids, which can erode tooth enamel.

3. **Gum Health**: Brushing helps prevent gingivitis, an early stage of gum disease, by keeping gums clean and free from plaque buildup.

4. **Fresh Breath**: Brushing helps eliminate bad breath by removing food particles and bacteria that cause odors.

5. **Overall Health**: Good oral hygiene is linked to overall health, as poor dental care can contribute to conditions like heart disease and diabetes.

6. **Aesthetic Reasons**: Brushing helps maintain a bright smile by preventing stains and discoloration.

Regular brushing, along with flossing and dental check-ups, is essential for maintaining healthy teeth and gums.",What is the purpose of brushing your teeth?,"The purpose of brushing your teeth is to maintain oral hygiene and prevent dental problems. Regular brushing helps remove food particles, plaque, and bacteria from the teeth and gums, which can otherwise lead to tooth decay, cavities, and gum disease. Additionally, brushing helps prevent bad breath and contributes to overall oral health. It is recommended to brush at least twice a day using fluoride toothpaste for optimal results.",0.5000
32,Does metal heat up in the sun?,"Yes, metal heats up in the sun. Metals are good conductors of heat, so they absorb solar radiation efficiently and their temperature rises quickly when exposed to sunlight. The extent to which a metal heats up depends on factors such as its color, surface finish, and specific heat capacity. Darker and matte surfaces tend to absorb more heat compared to lighter and reflective surfaces.",Will a metal surface become hot after sunlight exposure?,"Yes, a metal surface will typically become hot after exposure to sunlight. Metals are good conductors of heat, so they absorb solar radiation efficiently and can quickly increase in temperature. The extent to which a metal surface heats up depends on factors such as the intensity and duration of sunlight exposure, the metal's specific heat capacity, its color and finish (darker and matte surfaces absorb more heat), and environmental conditions like ambient temperature and wind.",0.5000
33,Can fire burn without oxygen?,"No, fire cannot burn without oxygen. Oxygen is a key component of the fire triangle, which consists of heat, fuel, and an oxidizing agent (usually oxygen). Without oxygen, the chemical reactions that produce fire cannot occur.",Is oxygen required for fire to continue burning?,"Yes, oxygen is required for fire to continue burning. Fire is a chemical reaction known as combustion, which typically involves a fuel reacting with oxygen to produce heat and light. Without sufficient oxygen, the combustion process cannot be sustained, and the fire will eventually go out.",0.2500
